,Hour,Vejnavn,Net Vehicles
167,23,Islands Brygge,53.13740022805017
168,00,Jagtvej,-7.51561144839549
169,01,Jagtvej,-4.4943625325238505
170,02,Jagtvej,-2.5745880312228966
171,03,Jagtvej,-5.09887250650477
172,04,Jagtvej,-5.69254119687771
173,05,Jagtvej,1.8074588031222896
174,06,Jagtvej,64.20555073720729
175,07,Jagtvej,77.96921075455334
176,08,Jagtvej,99.07545533391153
177,09,Jagtvej,69.4028620988725
178,10,Jagtvej,6.419340849956635
179,11,Jagtvej,-15.725932350390286
180,12,Jagtvej,-5.4371205550737205
181,13,Jagtvej,3.5
182,14,Jagtvej,12.190372940156115
183,15,Jagtvej,58.22679965307893
184,16,Jagtvej,70.28447528187337
185,17,Jagtvej,51.16088464874241
186,18,Jagtvej,5.215524718126626
187,19,Jagtvej,-8.17736339982654
188,20,Jagtvej,-23.846921075455334
189,21,Jagtvej,-31.069817866435386
190,22,Jagtvej,-30.672593235039027
191,23,Jagtvej,-9.032523850823937
192,00,KalkbrÃ¦nderihavnsgade,-22.145687164671894
193,01,KalkbrÃ¦nderihavnsgade,-12.322327692942633
194,02,KalkbrÃ¦nderihavnsgade,-11.892282294676022
195,03,KalkbrÃ¦nderihavnsgade,-12.10152703260421
196,04,KalkbrÃ¦nderihavnsgade,-8.012381345439538
197,05,KalkbrÃ¦nderihavnsgade,-12.170037144036318
198,06,KalkbrÃ¦nderihavnsgade,-67.86834502682625
199,07,KalkbrÃ¦nderihavnsgade,38.05282707387536
200,08,KalkbrÃ¦nderihavnsgade,221.2608336772596
201,09,KalkbrÃ¦nderihavnsgade,132.15394139496493
202,10,KalkbrÃ¦nderihavnsgade,101.55922410235246
203,11,KalkbrÃ¦nderihavnsgade,58.18530747007841
204,12,KalkbrÃ¦nderihavnsgade,32.60503508047874
205,13,KalkbrÃ¦nderihavnsgade,13.449442839455221
206,14,KalkbrÃ¦nderihavnsgade,5.368138671068923
207,15,KalkbrÃ¦nderihavnsgade,-55.47750722245151
208,16,KalkbrÃ¦nderihavnsgade,-85.27445315724309
209,17,KalkbrÃ¦nderihavnsgade,-91.82872472141973
210,18,KalkbrÃ¦nderihavnsgade,-72.57697069748247
211,19,KalkbrÃ¦nderihavnsgade,-26.399917457697068
212,20,KalkbrÃ¦nderihavnsgade,-25.126289723483286
213,21,KalkbrÃ¦nderihavnsgade,-24.27280231118448
214,22,KalkbrÃ¦nderihavnsgade,-35.00990507635163
215,23,KalkbrÃ¦nderihavnsgade,-40.841931489888566
216,00,Kalvebod Brygge,-23.49207467418105
217,01,Kalvebod Brygge,-14.21873899260303
218,02,Kalvebod Brygge,-13.9573793589292
219,03,Kalvebod Brygge,-1.1285663966185278
220,04,Kalvebod Brygge,54.72595984501585
221,05,Kalvebod Brygge,207.55970412116943
222,06,Kalvebod Brygge,334.36808735470237
223,07,Kalvebod Brygge,285.7411060232476
224,08,Kalvebod Brygge,296.1725959845016
225,09,Kalvebod Brygge,304.8848185980979
226,10,Kalvebod Brygge,185.56921451215217
227,11,Kalvebod Brygge,119.82493835857696
228,12,Kalvebod Brygge,49.495597041211695
229,13,Kalvebod Brygge,-63.07960549489257
230,14,Kalvebod Brygge,-132.1556886227545
231,15,Kalvebod Brygge,-42.25149700598802
232,16,Kalvebod Brygge,21.557942937654104
233,17,Kalvebod Brygge,50.65093342726312
234,18,Kalvebod Brygge,119.70975695667488
235,19,Kalvebod Brygge,83.76893272278971
236,20,Kalvebod Brygge,-10.872842550193731
237,21,Kalvebod Brygge,-53.883761887988726
238,22,Kalvebod Brygge,-53.3032758013385
239,23,Kalvebod Brygge,-27.956322648820006
240,00,Molbechsvej,-4.891780387178674
241,01,Molbechsvej,-2.927642018406855
242,02,Molbechsvej,-1.7702316724849254
243,03,Molbechsvej,-1.7165979054268485
244,04,Molbechsvej,-2.857188194224056
245,05,Molbechsvej,-12.513487781656616
246,06,Molbechsvej,-40.75468105363377
247,07,Molbechsvej,-54.65598222786417
248,08,Molbechsvej,-53.56775626785148
249,09,Molbechsvej,-53.43224373214852
250,10,Molbechsvej,-51.10631545541098
251,11,Molbechsvej,-55.44144715963186
252,12,Molbechsvej,-55.93367185020628
253,13,Molbechsvej,-66.084417645192
254,14,Molbechsvej,-89.77054903205331
255,15,Molbechsvej,-116.08219612821327
256,16,Molbechsvej,-100.12884798476674
257,17,Molbechsvej,-64.47254839733418
258,18,Molbechsvej,-42.3979688987623
259,19,Molbechsvej,-32.407172326245636
260,20,Molbechsvej,-27.747064423992384
261,21,Molbechsvej,-22.908917803871788
262,22,Molbechsvej,-16.288162488099015
263,23,Molbechsvej,-9.093938432243732
264,00,Mozartsvej,-4.791115311909262
265,01,Mozartsvej,-1.6934467548834278
266,02,Mozartsvej,-0.39855072463768115
267,03,Mozartsvej,0.1090107120352867
268,04,Mozartsvej,1.1515437933207309
269,05,Mozartsvej,5.387838689350977
270,06,Mozartsvej,11.486452425960932
271,07,Mozartsvej,12.430371770636421
272,08,Mozartsvej,23.60586011342155
273,09,Mozartsvej,7.559861373660995
274,10,Mozartsvej,-1.787964713295526
275,11,Mozartsvej,-6.718651543793321
276,12,Mozartsvej,-9.13169502205419
277,13,Mozartsvej,-12.012287334593573
278,14,Mozartsvej,-18.454946439823566
279,15,Mozartsvej,-21.338689350976686
280,16,Mozartsvej,-20.637996219281664
281,17,Mozartsvej,-17.0825456836799
282,18,Mozartsvej,-10.25897920604915
283,19,Mozartsvej,-8.052930056710775
284,20,Mozartsvej,-8.723377441713925
285,21,Mozartsvej,-6.58002520478891
286,22,Mozartsvej,-6.221487082545684
287,23,Mozartsvej,-5.96124763705104
288,00,Roskildevej,53.81476323119777
289,01,Roskildevej,30.97075208913649
290,02,Roskildevej,23.38300835654596
291,03,Roskildevej,16.479108635097493
292,04,Roskildevej,-4.888579387186629
293,05,Roskildevej,-40.118384401114206
294,06,Roskildevej,-212.99025069637884
295,07,Roskildevej,-175.55431754874652
296,08,Roskildevej,-148.3091922005571
297,09,Roskildevej,-150.033426183844
298,10,Roskildevej,-43.33844011142061
299,11,Roskildevej,16.321727019498606
300,12,Roskildevej,82.9874651810585
301,13,Roskildevej,140.48885793871867
302,14,Roskildevej,259.28551532033424
303,15,Roskildevej,164.22423398328692
304,16,Roskildevej,-64.4275766016713
305,17,Roskildevej,-59.456824512534816
306,18,Roskildevej,-28.788300835654596
307,19,Roskildevej,-17.63649025069638
308,20,Roskildevej,33.817548746518106
309,21,Roskildevej,83.17966573816156
310,22,Roskildevej,99.54456824512535
311,23,Roskildevej,73.52646239554318
312,00,Skt. Kjelds Gade,0.7821011673151751
313,01,Skt. Kjelds Gade,0.21577644145737532
314,02,Skt. Kjelds Gade,0.6048814998231341
315,03,Skt. Kjelds Gade,0.2193137601697913
316,04,Skt. Kjelds Gade,0.35054828440042446
317,05,Skt. Kjelds Gade,0.47612309869119207
318,06,Skt. Kjelds Gade,1.0866643084541918
319,07,Skt. Kjelds Gade,-0.45171559957552176
320,08,Skt. Kjelds Gade,3.2596391934913336
321,09,Skt. Kjelds Gade,2.289352670675628
322,10,Skt. Kjelds Gade,3.147152458436505
323,11,Skt. Kjelds Gade,3.1001061195613726
324,12,Skt. Kjelds Gade,3.993986558188893
325,13,Skt. Kjelds Gade,4.353378139370357
326,14,Skt. Kjelds Gade,5.9476476830562435
327,15,Skt. Kjelds Gade,6.081004598514326
328,16,Skt. Kjelds Gade,6.479660417403608
329,17,Skt. Kjelds Gade,5.760169791298196
330,18,Skt. Kjelds Gade,4.224619738238415
331,19,Skt. Kjelds Gade,2.7598160594269543
332,20,Skt. Kjelds Gade,2.4817828086310576
333,21,Skt. Kjelds Gade,2.281570569508313
334,22,Skt. Kjelds Gade,1.8019101521047047
335,23,Skt. Kjelds Gade,1.3689423417049875
336,00,SÃ¸lvgade,30.209129511677283
337,01,SÃ¸lvgade,23.187898089171973
338,02,SÃ¸lvgade,20.746638358103326
339,03,SÃ¸lvgade,26.127388535031848
340,04,SÃ¸lvgade,49.087402689313514
341,05,SÃ¸lvgade,85.44621372965322
342,06,SÃ¸lvgade,188.79617834394904
343,07,SÃ¸lvgade,347.6521585279547
344,08,SÃ¸lvgade,439.65746638358104
345,09,SÃ¸lvgade,351.2013446567587
346,10,SÃ¸lvgade,264.61146496815286
347,11,SÃ¸lvgade,239.1277423920736
348,12,SÃ¸lvgade,210.94515215852795
349,13,SÃ¸lvgade,167.32377919320595
350,14,SÃ¸lvgade,87.05343241330502
351,15,SÃ¸lvgade,25.50070771408351
352,16,SÃ¸lvgade,-2.0859872611464967
353,17,SÃ¸lvgade,31.110757254069355
354,18,SÃ¸lvgade,109.98301486199576
355,19,SÃ¸lvgade,96.01096956829441
356,20,SÃ¸lvgade,72.50424628450106
357,21,SÃ¸lvgade,58.92852087756546
358,22,SÃ¸lvgade,39.33651804670913
359,23,SÃ¸lvgade,38.37331917905166
360,00,Torvegade,8.682419127988748
361,01,Torvegade,21.174683544303797
362,02,Torvegade,26.8098452883263
363,03,Torvegade,20.52545710267229
364,04,Torvegade,-0.7566807313642757
365,05,Torvegade,3.136427566807314
366,06,Torvegade,66.51729957805907
367,07,Torvegade,87.73023909985935
368,08,Torvegade,-2.3243319268635725
369,09,Torvegade,13.077637130801687
370,10,Torvegade,-25.641350210970465
371,11,Torvegade,-34.79915611814346
372,12,Torvegade,-50.42475386779184
373,13,Torvegade,-83.86104078762307
374,14,Torvegade,-110.26610407876231
375,15,Torvegade,-100.75611814345991
376,16,Torvegade,-79.49648382559775
377,17,Torvegade,-64.01715893108299
378,18,Torvegade,-52.90773558368495
379,19,Torvegade,-16.230661040787624
380,20,Torvegade,-12.445288326300984
381,21,Torvegade,-38.64978902953587
382,22,Torvegade,4.530520393811533
383,23,Torvegade,27.415752461322082
384,00,Tuborgvej,2.891230455472468
385,01,Tuborgvej,5.33718558803535
386,02,Tuborgvej,6.363698164513936
387,03,Tuborgvej,5.479605710401088
388,04,Tuborgvej,13.840244731475186
389,05,Tuborgvej,45.56152277362339
390,06,Tuborgvej,119.47722637661455
391,07,Tuborgvej,4.868456832087015
392,08,Tuborgvej,95.19680489462951
393,09,Tuborgvej,96.69170632222978
394,10,Tuborgvej,66.09687287559484
395,11,Tuborgvej,58.67675050985724
396,12,Tuborgvej,52.205642420122366
397,13,Tuborgvej,28.923861318830728
398,14,Tuborgvej,-32.23827328348062
399,15,Tuborgvej,-18.99082256968049
400,16,Tuborgvej,-54.671312032630865
401,17,Tuborgvej,15.77906186267845
402,18,Tuborgvej,29.329027872195784
403,19,Tuborgvej,2.4921821889870834
404,20,Tuborgvej,-21.675050985724
405,21,Tuborgvej,-21.7794017675051
406,22,Tuborgvej,-14.268184908225697
407,23,Tuborgvej,7.026852481305235
408,00,Vejlands AlleÂ´,-68.69863481228668
409,01,Vejlands AlleÂ´,-40.0481228668942
410,02,Vejlands AlleÂ´,-28.389419795221844
411,03,Vejlands AlleÂ´,-27.203754266211604
412,04,Vejlands AlleÂ´,-35.16075085324232
413,05,Vejlands AlleÂ´,-81.24982935153584
414,06,Vejlands AlleÂ´,-233.46006825938568
415,07,Vejlands AlleÂ´,-589.8870307167235
416,08,Vejlands AlleÂ´,-702.7849829351536
417,09,Vejlands AlleÂ´,-346.82116040955634
418,10,Vejlands AlleÂ´,-283.72764505119454
419,11,Vejlands AlleÂ´,-302.20409556313996
420,12,Vejlands AlleÂ´,-334.9508532423208
421,13,Vejlands AlleÂ´,-356.5887372013652
422,14,Vejlands AlleÂ´,-387.66757679180887
423,15,Vejlands AlleÂ´,-356.98839590443686
424,16,Vejlands AlleÂ´,-290.6235494880546
425,17,Vejlands AlleÂ´,-322.517747440273
426,18,Vejlands AlleÂ´,-302.25972696245736
427,19,Vejlands AlleÂ´,-244.26825938566552
428,20,Vejlands AlleÂ´,-213.21638225255973
429,21,Vejlands AlleÂ´,-164.92184300341296
430,22,Vejlands AlleÂ´,-160.07372013651877
431,23,Vejlands AlleÂ´,-112.50648464163822
432,00,Vigerslev AllÃ©,-72.987423521414
433,01,Vigerslev AllÃ©,-54.77260367097213
434,02,Vigerslev AllÃ©,-42.473147518694766
435,03,Vigerslev AllÃ©,-33.0469068660775
436,04,Vigerslev AllÃ©,-14.591094493541808
437,05,Vigerslev AllÃ©,25.144799456152278
438,06,Vigerslev AllÃ©,61.69986403806934
439,07,Vigerslev AllÃ©,143.84840244731475
440,08,Vigerslev AllÃ©,216.82970768184907
441,09,Vigerslev AllÃ©,153.07409925220938
442,10,Vigerslev AllÃ©,54.043167912984366
443,11,Vigerslev AllÃ©,-8.389191026512577
444,12,Vigerslev AllÃ©,-48.443575798776344
445,13,Vigerslev AllÃ©,-79.59959211420802
446,14,Vigerslev AllÃ©,-162.66655336505778
447,15,Vigerslev AllÃ©,-246.0118966689327
448,16,Vigerslev AllÃ©,-213.50033990482666
449,17,Vigerslev AllÃ©,-151.09211420802174
450,18,Vigerslev AllÃ©,-84.59177430319511
451,19,Vigerslev AllÃ©,-73.99150237933378
452,20,Vigerslev AllÃ©,-88.00713800135962
453,21,Vigerslev AllÃ©,-104.649898028552
454,22,Vigerslev AllÃ©,-80.231135282121
455,23,Vigerslev AllÃ©,-82.52345343303875
456,00,Wittenberggade,-5.4079675396532645
457,01,Wittenberggade,-4.075248985614165
458,02,Wittenberggade,-2.610475839173737
459,03,Wittenberggade,-1.3035780154924381
460,04,Wittenberggade,7.275175212098857
461,05,Wittenberggade,39.31870158613058
462,06,Wittenberggade,64.75175212098857
463,07,Wittenberggade,52.21652526742899
464,08,Wittenberggade,40.548137218738475
465,09,Wittenberggade,35.063445223164884
466,10,Wittenberggade,7.871265215787532
467,11,Wittenberggade,-12.85355957211361
468,12,Wittenberggade,-26.579122095167836
469,13,Wittenberggade,-42.71781630394688
470,14,Wittenberggade,-67.10918480265585
471,15,Wittenberggade,-79.7963850977499
472,16,Wittenberggade,-72.60789376613796
473,17,Wittenberggade,-49.62891921800074
474,18,Wittenberggade,-24.524898561416453
475,19,Wittenberggade,-15.896348210992254
476,20,Wittenberggade,-12.622648469199557
477,21,Wittenberggade,-9.539284396901513
478,22,Wittenberggade,-10.732571007008485
479,23,Wittenberggade,-8.566580597565475
480,00,Ãboulevard,-33.51745254133497
481,01,Ãboulevard,-80.82486221677894
482,02,Ãboulevard,-49.92590324556032
483,03,Ãboulevard,-29.832210655235762
484,04,Ãboulevard,15.256582976117574
485,05,Ãboulevard,98.32210655235762
486,06,Ãboulevard,277.53521126760563
487,07,Ãboulevard,584.0992039191672
488,08,Ãboulevard,587.3392529087569
489,09,Ãboulevard,512.2375995101041
490,10,Ãboulevard,321.0342927127985
491,11,Ãboulevard,209.81077770973667
492,12,Ãboulevard,166.2682180036742
493,13,Ãboulevard,84.88732394366197
494,14,Ãboulevard,-176.50704225352112
495,15,Ãboulevard,-292.48009797917945
496,16,Ãboulevard,-275.72382118799754
497,17,Ãboulevard,-138.62400489895896
498,18,Ãboulevard,33.71341090018371
